timeframe,candidate_count,candidate_count_score,positive_label_ratio_proxy,temporal_diversity,regime_diversity,class_balance_proxy,oos_balance_proxy,ml_readiness_score,strategy_name,exit_model,parameter_set_id
M15,1278,1.0,0.6956181533646323,0.9833333333333333,0.0,0.9624413145539905,0.2517140058765916,0.6687469287375138,trend_pullback,fixed_tp,2d9d5d10ee0d
M15,7953,1.0,0.5488494907582044,1.0,0.0,0.9495787753049163,0.23187732342007436,0.6369883129603895,trend_pullback,fixed_tp,2341325b6596
M15,4310,1.0,0.6301624129930394,1.0,0.0,0.9494199535962877,0.2116952488051729,0.650199762958827,trend_pullback,fixed_tp,2fdd9e7c4267
M15,4155,1.0,0.6293622141997594,1.0,0.0,0.9463297232250301,0.21313868613138687,0.6497927042434144,trend_pullback,fixed_tp,ee6477190ca2
M15,4310,1.0,0.6180974477958237,1.0,0.0,0.9494199535962877,0.2116952488051729,0.6477867699193838,trend_pullback,fixed_tp,3a9088f58440
M15,4155,1.0,0.6204572803850782,1.0,0.0,0.9463297232250301,0.21313868613138687,0.6480117174804781,trend_pullback,fixed_tp,2b40814c00bd
M15,4215,1.0,0.6002372479240806,1.0,0.0,0.9731909845788849,0.25745823389021477,0.6546448323551811,trend_pullback,fixed_tp,0ad21e9cb39a
M15,3865,1.0,0.6276843467011642,1.0,0.0,0.9552393272962483,0.22348844571066792,0.6523460352912703,trend_pullback,fixed_tp,201c5dba2cd6
M15,5194,1.0,0.6707739699653447,1.0,0.0,0.9715055833654216,0.23490252020922492,0.665116009529266,trend_pullback,fixed_tp,360cfba5f561
M15,8141,1.0,0.6190885640584695,1.0,0.0,0.9694140768947304,0.23255109765329296,0.6541124889938974,trend_pullback,fixed_tp,0b99e4a94d7e
M15,7183,1.0,0.5564527356257831,1.0,0.0,0.9374912989001809,0.20459500251551233,0.6326034923375106,trend_pullback,fixed_tp,075fa069b30a
M15,6495,1.0,0.5578137028483449,1.0,0.0,0.9311778290993071,0.20077648363838047,0.6313558874803221,trend_pullback,fixed_tp,b3773515e24f
M15,11176,1.0,0.5598604151753758,1.0,0.0,0.9633142448103078,0.23724122661352817,0.6420554037486506,trend_pullback,fixed_tp,2a71a8212756
M15,6113,1.0,0.5506298053328971,1.0,0.0,0.9314575494847048,0.1998037291462218,0.6298151528612184,trend_pullback,fixed_tp,6d233fadfc52
M15,7546,1.0,0.563477338987543,1.0,0.0,0.9387755102040816,0.20543130990415334,0.6343264908137438,trend_pullback,fixed_tp,57e61e234662
M15,13021,1.0,0.5381307119268873,1.0,0.0,0.9475462714077261,0.24198779091949638,0.6360562517344608,trend_pullback,fixed_tp,db71d0b7e009
M15,1278,1.0,0.6854460093896714,0.9833333333333333,0.0,0.9624413145539905,0.2517140058765916,0.6667124999425216,trend_pullback,fixed_tp,ad36c8dcc0d9
M15,7546,1.0,0.5776570368407103,1.0,0.0,0.9387755102040816,0.20543130990415334,0.6371624303843774,trend_pullback,fixed_tp,99f41298e534
M15,2992,1.0,0.633355614973262,1.0,0.0,0.9391711229946524,0.19345831671320304,0.6465655389508307,trend_pullback,fixed_tp,db6f99722679
M15,4155,1.0,0.6613718411552346,1.0,0.0,0.9463297232250301,0.21313868613138687,0.6561946296345095,trend_pullback,fixed_tp,13a7eb8bad9f
M15,4310,1.0,0.6587006960556845,1.0,0.0,0.9494199535962877,0.2116952488051729,0.6559074195713559,trend_pullback,fixed_tp,895188c3bb79
M15,8887,1.0,0.5644199392370879,1.0,0.0,0.9476763812310116,0.20812941816204458,0.636254857756376,trend_pullback,fixed_tp,1f3842e3c367
M15,5375,1.0,0.538046511627907,1.0,0.0,0.9220465116279071,0.20759379914625928,0.6270553489417063,trend_pullback,fixed_tp,224ba07b3c19
M15,8557,1.0,0.5325464531962136,1.0,0.0,0.9314011920065444,0.20895733257982482,0.6275630693271982,trend_pullback,fixed_tp,3b59155ef344
M15,6216,1.0,0.618082368082368,1.0,0.0,0.9507722007722008,0.20465116279069767,0.6469299781509084,trend_pullback,fixed_tp,9c521eedc52b
